,Mean,Median,Histogram Path,Description Path,Heatmap Path
Caloric Value,251.68965517241378,155.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png
Fat,6.402470219435737,1.8,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png
Carbohydrates,38.08805642633229,18.6,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png
Protein,5.305852664576802,2.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png
Dietary Fiber,2.8116959247648903,0.5,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png
