,Mean,Median,Histogram Path,Description Path,Heatmap Path
Caloric Value,156.2198275862069,108.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png
Fat,7.381918103448276,0.5,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png
Carbohydrates,17.82316810344828,14.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png
Protein,4.975905172413793,1.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png
Dietary Fiber,1.813288793103448,0.2,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png
