,Mean,Median,Histogram Path,Description Path,Heatmap Path
Caloric Value,348.0367775831874,145.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png
Fat,18.646373029772327,2.4,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png
Carbohydrates,14.243730297723292,0.8,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png
Protein,28.998455341506126,6.2,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png
Dietary Fiber,3.383385288966725,0.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png
