,Mean,Median,Histogram Path,Description Path,Heatmap Path
Caloric Value,124.49030470914127,68.5,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Heatmap.png
Fat,5.592144044321329,0.7,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Heatmap.png
Carbohydrates,15.770335180055403,8.149999999999999,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Heatmap.png
Protein,3.5201218836565102,1.8,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Heatmap.png
Dietary Fiber,2.077718836565097,0.95,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Heatmap.png
