,Mean,Median,Histogram Path,Description Path,Heatmap Path
Caloric Value,237.35934664246824,186.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png
Fat,10.76693284936479,6.6,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png
Carbohydrates,15.819036297640654,5.1,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png
Protein,18.41785662431942,11.9,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png
Dietary Fiber,1.0981451905626136,0.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png
